name,iataCode
ALBACETE,ABC
LANZAROTE,ACE
MALAGA,AGP
ALGHERO,AHO
ALICANTE,ALC
ALGIERS,ALG
AMMAN,AMM
AMSTERDAM,AMS
ASUNCION,ASU
ATHENS,ATH
ATLANTA,ATL
ABU DHABI,AUH
SAMANA,AZS
BACAU,BCM
BARCELONA,BCN
BELGRADE,BEG
BERLIN,BER
BEIRUT,BEY
BERGEN,BGO
BILBAO,BIO
BEIJING,BJS
BADAJOZ,BJZ
BOLOGNA,BLQ
BORDEAUX,BOD
BOGOTA,BOG
BOSTON,BOS
BARI,BRI
BRISTOL,BRS
BRUSSELS,BRU
BUDAPEST,BUD
BUENOS AIRES,BUE
BUCHAREST,BUH
CAGLIARI,CAG
CAIRO,CAI
COCHABAMBA,CBB
CARACAS,CCS
KERKYRA,CFU
CHICAGO,CHI
CLUJ NAPOCA,CLJ
CALI,CLO
CHARLOTTE,CLT
CASABLANCA,CMN
COPENHAGEN,CPH
CRAIOVA,CRA
CATANIA,CTA
CANCUN,CUN
DUBROVNIK,DBV
DALLAS,DFW
DAKAR,DKR
DOHA,DOH
DUBLIN,DUB
DUESSELDORF,DUS
DUBAI,DXB
BASEL MULHOUSE,EAP
SAN SEBASTIAN,EAS
EDINBURGH,EDI
KEFALLINIA,EFL
FARO,FAO
FLORENCE,FLR
FUNCHAL,FNC
FORTALEZA,FOR
FRANKFURT,FRA
FUERTEVENTURA,FUE
GENOA,GOA
GRANADA,GRX
GUATEMALA CITY,GUA
GENEVA,GVA
GUAYAQUIL,GYE
HAMBURG,HAM
HANOI,HAN
HAVANA,HAV
IRAKLEION,HER
HONG KONG,HKG
IBIZA,IBZ
ISTANBUL,IST
JEDDAH,JED
MYKONOS,JMK
THIRA,JTR
LOS ANGELES,LAX
A CORUNA,LCG
ALMERIA,LEI
LEON,LEN
LIMA,LIM
LISBON,LIS
LJUBLJANA,LJU
LONDON,LON
GRAN CANARIA,LPA
LIVERPOOL,LPL
LUXEMBOURG,LUX
LUXOR,LXR
LYON,LYS
MADRID,MAD
MENORCA,MAH
MANCHESTER,MAN
MEDELLIN,MDE
MEXICO CITY,MEX
MIAMI,MIA
MILAN,MIL
MURCIA,MJV
MALTA,MLA
MALE,MLE
MELILLA,MLN
MOSCOW,MOW
ZHUKOVSKY,MOW
MARSEILLE,MRS
MUNICH,MUC
MONTEVIDEO,MVD
NAPLES,NAP
NICE,NCE
NANTES,NTE
NEW YORK,NYC
OLBIA,OLB
PORTO,OPO
OSLO,OSL
ASTURIAS,OVD
PARIS,PAR
PONTA DELGADA,PDL
PONFERRADA,PFE
PHILADELPHIA,PHL
PALMA DE MALLORCA,PMI
PALERMO,PMO
PAMPLONA,PNA
PRAGUE,PRG
PANAMA CITY,PTY
PUNTA CANA,PUJ
MARRAKECH,RAK
RABAT,RBA
RECIFE,REC
REYKJAVIK,REK
BURGOS,RGS
RIO DE JANEIRO,RIO
RIGA,RIX
LOGRONO,RJL
ROME,ROM
RIYADH,RUH
SAO PAULO,SAO
SAN PEDRO SULA,SAP
SIBIU,SBZ
SANTIAGO,SCL
SANTIAGO DE COMPOSTELA,SCQ
SANTIAGO DE CUBA,SCU
SANTO DOMINGO,SDQ
SANTANDER,SDR
SEOUL,SEL
SAN FRANCISCO,SFO
SAN JOSE,SJO
SAN JUAN,SJU
SALAMANCA,SLM
SOFIA,SOF
SANTA CRUZ DE LA PALMA,SPC
SPLIT,SPU
SANTA CRUZ,SRZ
SALVADOR,SSA
STOCKHOLM,STO
STUTTGART,STR
SEVILLA,SVQ
STRASBOURG,SXB
TENERIFE,TCI
TOULOUSE,TLS
TEL AVIV YAFO,TLV
TANGIER,TNG
TURIN,TRN
TIANJIN,TSN
TIMISOARA,TSR
TUNIS,TUN
TOKYO,TYO
QUITO,UIO
VENICE,VCE
VIGO,VGO
VIENNA,VIE
VITORIA,VIT
VALENCIA,VLC
VALLADOLID,VLL
WASHINGTON,WAS
WARSAW,WAW
SORIA,XJO
LORCA,XJR
JEREZ,XRY
MONTREAL,YMQ
TORONTO,YTO
ZAGREB,ZAG
ZARAGOZA,ZAZ
ZURICH,ZRH
